PlayerID,Name,Team,Position,Age,Non-SF Value
jamaal-williams-339,Jamaal Williams,NOS,RB,29,680
denzel-mims-558,Denzel Mims,PIT,WR,26,677
devin-duvernay-560,Devin Duvernay,JAC,WR,26,676
ryan-flournoy-1642,Ryan Flournoy,DAL,WR,24,675
joshua-kelley-629,Joshua Kelley,LAC,RB,26,673
drew-lock-33,Drew Lock,NYG,QB,27,666
hendon-hooker-1404,Hendon Hooker,DET,QB,26,660
jawhar-jordan-1641,Jawhar Jordan,HOU,RB,24,658
kalif-raymond-822,Kalif Raymond,DET,WR,29,648
zonovan-knight-1186,Zonovan Knight,DET,RB,23,648
foster-moreau-179,Foster Moreau,NOS,TE,27,646
kyle-philips-1318,Kyle Philips,TEN,WR,25,645
kylen-granson-1119,Kylen Granson,IND,TE,26,643
emanuel-wilson-1515,Emanuel Wilson,GBP,RB,25,632
kenny-pickett-1208,Kenny Pickett,PHI,QB,26,629
jalen-guyton-467,Jalen Guyton,LVR,WR,27,613
cameron-latu-1432,Cameron Latu,SFO,TE,24,611
tip-reiman-1628,Tip Reiman,ARI,TE,22,611
nyheim-hines-412,Nyheim Hines,CLE,RB,27,600
adam-trautman-566,Adam Trautman,DEN,TE,27,599
elijah-higgins-1469,Elijah Higgins,ARI,TE,23,593
hassan-haskins-1191,Hassan Haskins,TEN,RB,24,592
justin-watson-178,Justin Watson,KCC,WR,29,583
chris-brooks-1490,Chris Brooks,MIA,RB,24,579
tyler-johnson-572,Tyler Johnson,LAR,WR,25,578
brock-wright-1162,Brock Wright,DET,TE,25,567
marquez-callaway-887,Marquez Callaway,PIT,WR,26,560
cedrick-wilson-498,Cedrick Wilson,NOS,WR,28,559
ronnie-rivers-1185,Ronnie Rivers,LAR,RB,25,555
jeffery-wilson-199,Jeffery Wilson,MIA,RB,28,553
laviska-shenault-540,Laviska Shenault,SEA,WR,25,546
jake-browning-459,Jake Browning,CIN,QB,28,545
chase-edmonds-354,Chase Edmonds,TBB,RB,28,543
albert-okwuegbunam-563,Albert Okwuegbunam,PHI,TE,26,539
jason-brownlee-1508,Jason Brownlee,NYJ,WR,25,533
deonte-harty-612,Deonte Harty,BAL,WR,26,530
jameis-winston-413,Jameis Winston,CLE,QB,30,527
dorian-thompson-robinson-1411,Dorian Thompson-Robinson,CLE,QB,24,510
tim-patrick-206,Tim Patrick,DEN,WR,30,509
hunter-renfrow-100,Hunter Renfrow,FA,WR,28,508
d-ernest-johnson-445,D'Ernest Johnson,JAC,RB,28,504
malik-heath-1502,Malik Heath,GBP,WR,24,503
peyton-hendershot-1349,Peyton Hendershot,DAL,TE,25,499
zach-wilson-1016,Zach Wilson,DEN,QB,24,490
anthony-schwartz-1073,Anthony Schwartz,MIA,WR,23,482
salvon-ahmed-625,Salvon Ahmed,MIA,RB,25,471
tylan-wallace-1008,Tylan Wallace,BAL,WR,25,470
brandon-powell-522,Brandon Powell,MIN,WR,27,469
deejay-dallas-621,DeeJay Dallas,ARI,RB,25,458
nick-westbrook-ikhine-950,Nick Westbrook-Ikhine,TEN,WR,27,450
dalvin-cook-271,Dalvin Cook,BAL,RB,28,450
jalen-nailor-1245,Jalen Nailor,MIN,WR,25,447
olamide-zaccheaus-609,Olamide Zaccheaus,WAS,WR,26,446
